Cities ,pop_area,tour_inf,nhwhite,gdp_per_capital,crime_avg,employ_avg,pov_avg ,pov_over10,basketball,lon_trm,football,land_locked
Richmond,"3,609.10","16,000,000",0.40,"61,107.00",0.38,0.60,0.13,1,0,41.06,0,0
Spokane,"3,398.60","9,900,000",0.18,"54,220.00",0.64,0.60,0.14,1,1,62.60,0,1
Norfolk,"4,501.70","1,500,000",0.28,"59,372.00",0.56,0.59,0.13,1,0,57.00,0,0
Huntsville,"1,080.40","4,000,000",0.43,"67,802.00",0.18,0.63,0.12,1,0,66.80,0,1
Des Moines,"2,514.80","13,700,000",0.35,"85,061.00",0.33,0.61,0.10,1,1,61.10,0,1
Mckinney ,"2,333.30","582,000",0.44,"77,109.00",0.12,0.64,0.10,1,0,62.00,0,1
Baton Rouge,"2,782.50","8,800,000",0.65,"64,455.00",0.70,0.60,0.25,1,0,36.20,0,0
Salt Lake City,"1,831.70","26,900,000",0.32,"93,815.00",0.76,0.63,0.09,0,1,53.80,0,1
Worcester,"5,668.90","17,300,000",0.26,"56,151.00",0.24,0.58,0.15,1,0,63.50,0,1
Yonkers,"12,344.10","150,000",0.63,"100,806.00",0.13,0.59,0.13,1,0,68.80,0,0
Rochester,"5,725.80","2,000,000",0.64,"63,910.00",0.43,0.57,0.30,1,0,57.70,0,0
Little Rock,"1,582.90","1,100,000",0.57,"56,821.00",0.54,0.56,0.18,1,0,42.00,0,1
Tacoma,"4,237.60","3,000,000",0.43,"119,646.00",0.84,0.61,0.12,1,0,53.60,0,0
Modesto,"3,618.40","400,000",0.53,"47,955.00",0.33,0.60,0.17,1,0,63.70,0,1
Tallahassee ,"1,776.50","2,300,000",0.49,"52,227.00",0.31,0.61,0.17,1,0,54.00,0,1
Oxnard,"7,399.90","150,000",0.75,"69,461.00",0.28,0.60,0.18,1,0,63.10,0,0
Knoxville,"1,877.80","5,000,000",0.30,"58,588.00",0.48,0.60,0.16,1,0,54.30,0,1
Providence,"9,804.20","21,600,000",0.39,"57,832.00",0.29,0.59,0.22,1,0,61.30,0,0
Montgomery,"1,291.70","2,700,000",0.57,"52,489.00",0.32,0.58,0.22,1,0,55.10,0,1
Birmingham,"1,418.50","3,960,000",0.76,"63,606.00",0.60,0.57,0.26,1,1,46.10,0,1
Akron,"3,093.20","18,500,000",0.45,"58,653.00",0.43,0.59,0.23,1,0,51.60,0,1
Fort Lauderdale,"5,215.40","749,000",0.48,"68,477.00",0.41,0.61,0.12,1,0,36.10,0,0
Mobile ,"1,364.60","3,400,000",0.36,"55,756.00",0.40,0.56,0.23,1,0,54.40,0,0
Eugene,"3,670.30","66,500,000",0.23,"49,187.00",0.38,0.63,0.12,1,0,61.30,0,1
Chattanooga,"1,299.70","3,000,000",0.44,"49,919.00",0.64,0.62,0.15,1,0,47.20,0,1
Overland Park,"2,115.80","4,700,000",0.25,"70,165.00",0.26,0.62,0.10,0,0,61.90,0,1
Grand Rapids,"4,518.30","440,000",0.40,"62,660.00",0.40,0.61,0.17,1,1,58.70,0,1
Amarillo,"2,047.60","5,700,000",0.39,"60,485.00",0.42,0.58,0.19,1,0,62.10,0,0
Fayetteville,"1,299.80","130,000",0.41,"59,036.00",0.45,0.62,0.16,1,0,51.90,0,1
Brownsville,"1,299.80","190,000",0.65,"31,369.00",0.23,0.62,0.27,1,0,65.50,0,0
Peoria,"3,159.70","115,000",0.33,"59,261.00",0.43,0.59,0.17,1,0,60.70,0,1
Sioux Falls,"1,419.80","1,300,000",0.21,"92,436.00",0.36,0.62,0.10,0,1,66.70,0,1
